word,ssc_10_rel_error,ssc_25_rel_error,ssc_50_rel_error,ssc_70_rel_error
aconsejaríale, 10, 1.0
aconsejas, 10, 0.5
aconseje, 10, 0.0
aconsejo, 10, 0.5
aconsejárale, 10, 1.0
aconsejéis, 10, 1.0
aconsejó, 10, 0.0
aconsejóle, 10, 0.5
aconséjoos, 10, 1.0
acontece, 10, 0.0
acontecen, 10, 0.5
acontecer, 10, 0.0
acontecerle, 10, 0.5
acontecerles, 10, 1.0
acontecido, 10, 0.091
acontecieran, 10, 1.0
acontecieron, 10, 0.5
acontecimiento, 10, 0.167
acontecimientos, 10, 0.143
aconteció, 10, 0.0
acontecía, 10, 0.0
acontencido, 10, 1.0
acordaba, 10, 0.0
acordado, 10, 0.2
acordamos, 10, 0.0
acordar, 10, 0.0
acordara, 10, 0.5
acordarme, 10, 0.333
acordaron, 10, 0.0
acordarse, 10, 0.0
acordarte, 10, 0.0
acordará, 10, 0.0
acordase, 10, 0.5
acordáis, 10, 0.0
acordándose, 10, 0.333
acordó, 10, 0.0
acorrer, 10, 0.0
acorriesen, 10, 1.0
acorrucó, 10, 0.5
acorta, 10, 0.0
acortando, 10, 0.0
acortar, 10, 0.0
acosa, 10, 0.0
acosado, 10, 0.0
acostado, 10, 0.0
acostar, 10, 0.0
acostarme, 10, 0.0
acostaráse, 10, 1.0
acostumbrada, 10, 0.111
acostumbradas, 10, 0.2
acostumbrado, 10, 0.111
acostumbrados, 10, 0.2
acostumbrar, 10, 1.0
acostumbro, 10, 1.0
acostó, 10, 0.0
acostóse, 10, 0.0
acosáis, 10, 0.0
acotaciones, 10, 0.333
acotán, 10, 0.0
acrebillado, 10, 1.0
acrebillaron, 10, 1.0
acrecentaba, 10, 1.0
acrecentamiento, 10, 1.0
acrecentar, 10, 0.167
acrecentarse, 10, 1.0
acrecentará, 10, 1.0
acrecentase, 10, 1.0
acrecentó, 10, 0.333
acrecentóseles, 10, 1.0
acrecientan, 10, 0.5
acreciente, 10, 0.25
acreditaba, 10, 0.5
acreditaban, 10, 1.0
acreditado, 10, 1.0
acreditan, 10, 0.5
acreditar, 10, 0.0
