Word, Count, Time_exc
balak, 43, 0.044
balance, 8, 0.044
balances, 10, 0.044
balancings, 1, 0.044
bald, 16, 0.044
baldness, 9, 0.044
ball, 1, 0.044
balm, 6, 0.044
bamah, 1, 0.044
bamoth, 2, 0.044
bamothbaal, 1, 0.044
band, 19, 0.044
banded, 1, 0.044
bands, 46, 0.044
bani, 15, 0.044
banished, 2, 0.044
banishment, 2, 0.044
bank, 14, 0.044
banks, 5, 0.044
banner, 3, 0.044
banners, 3, 0.044
banquet, 14, 0.044
banqueting, 1, 0.044
banquetings, 1, 0.044
baptism, 22, 0.044
baptisms, 1, 0.044
baptist, 15, 0.044
baptize, 9, 0.044
baptized, 61, 0.044
baptizest, 1, 0.044
baptizeth, 2, 0.044
baptizing, 4, 0.044
bar, 7, 0.044
barabbas, 11, 0.044
barachel, 2, 0.044
barachias, 1, 0.044
barak, 14, 0.044
barbarian, 3, 0.044
barbarians, 2, 0.044
barbarous, 1, 0.044
barbed, 1, 0.044
barber, 1, 0.044
bare, 185, 0.044
barefoot, 4, 0.044
barest, 3, 0.044
barhumite, 1, 0.044
bariah, 1, 0.044
barjesus, 1, 0.044
barjona, 1, 0.044
bark, 1, 0.044
barked, 1, 0.044
barkos, 2, 0.044
barley, 37, 0.044
barn, 4, 0.044
barnabas, 29, 0.044
barnfloor, 1, 0.044
barns, 4, 0.044
barrel, 3, 0.044
barrels, 1, 0.044
barren, 23, 0.044
barrenness, 1, 0.044
bars, 38, 0.044
barsabas, 2, 0.044
bartholomew, 4, 0.044
bartimaeus, 1, 0.044
baruch, 26, 0.044
barzillai, 12, 0.044
base, 18, 0.044
baser, 1, 0.044
bases, 16, 0.044
basest, 2, 0.044
bashan, 59, 0.044
bashanhavothjair, 1, 0.044
bashemath, 6, 0.044
basket, 23, 0.044
baskets, 15, 0.044
basmath, 1, 0.044
bason, 5, 0.044
basons, 18, 0.044
bastard, 2, 0.044
bastards, 1, 0.044
bat, 2, 0.044
bath, 6, 0.044
bathe, 18, 0.044
bathed, 1, 0.044
bathrabbim, 1, 0.044
baths, 9, 0.044
bathsheba, 10, 0.044
bathshua, 1, 0.044
bats, 1, 0.044
battered, 1, 0.044
battering, 2, 0.044
battle, 170, 0.044
battlement, 1, 0.044
battlements, 1, 0.044
battles, 6, 0.044
bavai, 1, 0.044
bay, 6, 0.044
bazlith, 1, 0.044
bazluth, 1, 0.044
bdellium, 2, 0.044
beacon, 1, 0.044
bealiah, 1, 0.044
bealoth, 1, 0.044
beam, 15, 0.044
beams, 12, 0.044
beans, 2, 0.044
bear, 215, 0.044
beard, 16, 0.044
beards, 4, 0.044
bearers, 3, 0.044
bearest, 5, 0.044
beareth, 25, 0.044
bearing, 22, 0.044
bears, 2, 0.044
beast, 181, 0.044
beasts, 156, 0.044
beat, 36, 0.044
beaten, 40, 0.044
beatest, 2, 0.044
beateth, 1, 0.044
beating, 3, 0.044
beauties, 1, 0.044
beautiful, 23, 0.044
beautify, 3, 0.044
beauty, 49, 0.044
bebai, 6, 0.044
became, 106, 0.044
becamest, 2, 0.044
becher, 5, 0.044
bechorath, 1, 0.044
beckoned, 6, 0.044
beckoning, 2, 0.044
become, 135, 0.044
becometh, 15, 0.044
bed, 91, 0.044
bedad, 2, 0.044
bedan, 2, 0.044
bedchamber, 6, 0.044
bedeiah, 1, 0.044
beds, 10, 0.044
bedstead, 2, 0.044
bee, 1, 0.044
